,356,318,296,593,2571,260,480,110,589,527
17,5.0,5.0,5.0,4.5,5.0,5.0,3.374038197667592,4.5,4.5,4.5
18,4.779526519539165,5.0,4.0,4.5,3.5130752135942735,3.100718909574213,3.5,4.5,4.769616069272936,4.5
28,4.0,3.5,2.611081689137139,2.5,4.361182038916831,4.0,5.706941251624067,3.5,4.5,2.2651865973344383
137,3.5,3.5,3.0,2.634854547827456,4.0,4.0,3.5,4.0,3.5,3.0058208333185794
274,4.5,4.5,3.7530558346676797,4.0,3.442367505098463,3.0,3.5,4.316896866613366,4.5,4.0
288,4.842594725902554,5.0,4.567804755142026,5.0,3.0,2.63854961465675,2.0,5.0,4.451514618363282,5.0
304,5.0,4.0,5.0,4.0,5.1854646204826995,5.0,4.0,5.0,4.742381283228545,5.0
391,5.0,5.0,5.0,3.0,5.0,5.0,2.0,4.764012037405709,4.0,5.0
414,5.0,4.735098809689906,4.504483094169628,4.0,5.0,5.0,4.0,5.0,5.0,4.0
425,4.9359543996119175,5.0,4.100566435731823,4.853155675191472,3.5,3.0,3.7771794317518905,4.7977178991883775,5.0266394870639495,4.438329390113592
